City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,port alfred,-33.5906,26.891,10.660000000000025,85,26,2.24,ZA,1688523522
160,ciudad bolivar,8.1222,-63.5497,25.640000000000043,83,84,6.1,VE,1688523928
161,yellowknife,62.456,-114.3525,21.29000000000002,30,75,4.12,CA,1688523649
162,sosnogorsk,63.6023,53.8817,17.090000000000032,65,4,2.7,RU,1688523929
163,vilyuchinsk,52.9306,158.4028,23.150000000000034,77,86,2.66,RU,1688523783
164,thompson,55.7435,-97.8558,11.090000000000032,76,75,1.03,CA,1688523642
165,cookeville,36.1628,-85.5016,24.450000000000045,92,0,0.0,US,1688523930
166,verkh-chebula,56.0308,87.6218,20.150000000000034,59,28,3.04,RU,1688523930
167,fale old settlement,-9.3852,-171.2468,28.230000000000018,78,14,7.37,TK,1688523646
168,qarazhal,48.0078,70.7903,22.620000000000005,40,13,1.46,KZ,1688523930
169,sao francisco,-15.9486,-44.8644,18.439999999999998,46,31,3.0,BR,1688523931
170,luau,-10.7073,22.2247,12.860000000000014,55,0,2.12,AO,1688523931
171,qamdo,31.1667,97.2333,11.79000000000002,58,100,1.48,CN,1688523931
172,isafjordur,66.0755,-23.124,5.3799999999999955,94,100,4.34,IS,1688523673
173,sokoni,-6.4333,39.55,24.890000000000043,71,0,6.75,TZ,1688523932
174,magadan,59.5667,150.8,18.629999999999995,78,65,4.31,RU,1688523932
175,tazovsky,67.4667,78.7,17.680000000000007,81,6,5.97,RU,1688523638
176,lihue,21.9789,-159.3672,28.77000000000004,68,40,6.17,US,1688523639
177,weno,7.4515,151.8468,29.970000000000027,79,100,1.54,FM,1688523745
178,bredasdorp,-34.5322,20.0403,7.180000000000007,79,100,0.82,ZA,1688523642
179,lauingen,48.5677,10.4271,15.510000000000048,84,43,2.59,DE,1688523933
180,saint-pierre,-21.3393,55.4781,17.82000000000005,68,0,4.12,RE,1688523738
181,chonchi,-42.6128,-73.8092,5.6200000000000045,89,73,4.07,CL,1688523671
182,menongue,-14.6585,17.691,7.710000000000036,59,0,1.41,AO,1688523934
183,keflavik,64.0049,-22.5624,5.9500000000000455,87,40,9.77,IS,1688523456
184,arica,-18.475,-70.3042,19.129999999999995,77,100,4.12,CL,1688523935
185,nagqu,31.5,92.0,8.400000000000034,76,100,4.87,CN,1688523762
186,geraldton,-28.7667,114.6,15.230000000000018,88,75,3.6,AU,1688523679
